Blue, Green, Red
104, 242, 308
105, 241, 307
106, 241, 306
106, 242, 307
107, 242, 308
107, 242, 307
108, 242, 308
108, 242, 307
108, 242, 307
108, 242, 307
107, 241, 308
107, 242, 308
106, 242, 307
105, 242, 307
105, 242, 307
105, 243, 307
106, 242, 307
107, 242, 307
108, 242, 307
108, 242, 307
106, 243, 307
107, 241, 308
107, 242, 307
107, 242, 307
108, 242, 307
109, 243, 306
108, 243, 307
108, 242, 307
108, 243, 307
108, 241, 307
