Blue, Green, Red
152, 31, 15
152, 30, 15
152, 31, 15
152, 31, 15
153, 31, 15
154, 31, 16
154, 31, 15
154, 32, 14
155, 32, 15
155, 32, 15
155, 32, 15
155, 32, 14
155, 33, 16
154, 32, 16
153, 31, 15
154, 31, 15
154, 31, 15
155, 32, 15
154, 33, 15
154, 32, 15
155, 32, 15
155, 32, 16
155, 32, 15
155, 32, 15
156, 33, 15
156, 33, 15
157, 33, 15
156, 32, 16
155, 33, 15
155, 32, 15
